time;geo;gpd_per_cap;lex;pop;geo.name;geo.region
2040;Pohjois-Pohjanmaa;642634163.6;994289999.8;284689575.6;Pohjois-Pohjanmaa;region
2015;Kainuu;95666113.97;171497129.6;55447113.8;Kainuu;region
2020;Kainuu;96901007.24;173679879.9;54569790.49;Kainuu;region
2025;Kainuu;100569381.8;178871472;54339346.45;Kainuu;region
2030;Kainuu;104256940.9;183663898.5;54037042.71;Kainuu;region
2035;Kainuu;109859226.5;187874349.8;53402325.07;Kainuu;region
2040;Kainuu;112776185.9;188073347;52259836.88;Kainuu;region
2015;Länsi-Pohja;76374211.05;142842593.7;35755074.7;Länsi-Pohja;region
2020;Länsi-Pohja;77754097.36;146118731.5;35602605.32;Länsi-Pohja;region
2025;Länsi-Pohja;82031250.33;152589579.9;35794135.03;Länsi-Pohja;region
2030;Länsi-Pohja;85741414.45;157944784.8;35856547.91;Länsi-Pohja;region
2035;Länsi-Pohja;91604951.28;163316458.4;35655959.85;Länsi-Pohja;region
2040;Länsi-Pohja;94258369.86;164324167.6;35094421.76;Länsi-Pohja;region
2015;Lappi;162059381.8;261524561.6;78928473.98;Lappi;region
2020;Lappi;169816770;272698053.7;80199154.27;Lappi;region
2025;Lappi;183158472.6;289369813.3;82392967.9;Lappi;region
2030;Lappi;192589263.2;302033626.2;84191434.88;Lappi;region
2035;Lappi;207802760.2;315633113.5;85383615.78;Lappi;region
2040;Lappi;216762858.5;321523607.7;85418487.9;Lappi;region
