Region,Time,Healthcare cost,Dependency ratio,Working population,Population size,Social care cost,Kela compensation,Social welfare transfers,Municipality tax,Health insurance payments,Capital tax
Kainuu,2025,8782,28.81924301,20368,70675,4938,2668,8624,9980,965,1087
Kainuu,2030,9482,28.09893378,19370,68935,5382,2790,9329,10112,975,1111
Kainuu,2035,9878,28.21851956,19019,67399,5776,2808,9371,9996,967,1099
Kainuu,2040,9885,28.8443171,19026,65961,5927,2747,8938,9742,948,1079
Länsi-Pohja,2015,7173,31.51339632,19913,63189,3835,1796,3835,10117,1019,863
Länsi-Pohja,2020,7932,29.87819712,18422,61657,4221,1933,4221,10542,1048,914
Länsi-Pohja,2025,8711,28.94415069,17517,60520,4683,2043,4683,10743,1058,938
Länsi-Pohja,2030,9365,28.31836118,16865,59555,5084,2126,5084,10875,1068,955
Länsi-Pohja,2035,9839,28.30709937,16599,58639,5519,2148,5519,10819,1063,953
Länsi-Pohja,2040,9946,28.63828607,16522,57692,5705,2124,5705,10664,1050,963
Lappi,2015,6893,32.15438989,37938,117987,4272,2080,5626,9423,968,931
Lappi,2020,7657,30.22241457,35615,117843,4768,2252,6650,9948,1009,1006
Lappi,2025,8466,28.9642491,34181,118011,5358,2410,7575,10258,1030,1049
Lappi,2030,9079,28.17075546,33266,118087,5789,2531,8249,10456,1047,1076
Lappi,2035,9478,28.2418794,33300,117910,6240,2564,8341,10393,1044,1066
Lappi,2040,9515,28.76466282,33791,117474,6415,2528,8023,10195,1027,1071
